AdrID,EGID,Kantonskuerzel,Grundstuecksnummer,Strasse,Nummer,PLZ,Ort,Name,EKoordinate,NKoordinate,Status,Bauperiode,Flaeche,Geschosse,Zivilschutzraum,Heizung,Datum_Heizung
100000014,11514442,SH,10,Im Höfli,4,8234,Stetten SH,,2691697.432,1288451.961,bestehend,1996-2000,244,2,,Wärmepumpe für ein Geb.,2002-09-05
100000030,11527411,SH,16,Wolfackerweg,6,8223,Guntmadingen,,2683906.229,1282349.806,bestehend,1919-1945,110,3,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000059,11527471,SH,1274,Wasserbrunnen,9,8235,Lohn SH,,2692655.994,1290142.303,bestehend,1996-2000,142,3,,Wärmepumpe für ein Geb.,2002-09-05
100000068,11527489,SH,3108,Benzeweg,63,8222,Beringen,,2686721.391,1283553.245,bestehend,1996-2000,102,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000083,11527532,SH,2479,Bruggsteg,7,8260,Stein am Rhein,,2706767.644,1279263.787,bestehend,1996-2000,93,3,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000111,11513953,SH,906,Neudörflingerstrasse,21,8239,Dörflingen,,2696263.852,1285103.176,bestehend,1996-2000,103,2,,Wärmetauscher für ein Geb.,2002-09-05
100000501,11515547,SH,276,Laag,118,8239,Dörflingen,,2696342.149,1283365.433,bestehend,1919-1945,66,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000658,11513728,SH,10661,Hauentalstrasse,30,8200,Schaffhausen,,2689093.503,1285060.908,bestehend,2001-2005,140,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000662,11513738,SH,3231,Schwärziweg,8,8222,Beringen,,2685791.865,1283554.082,bestehend,1996-2000,80,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000663,11513739,SH,3131,Schwärziweg,6,8222,Beringen,,2685784.674,1283554.438,bestehend,1996-2000,80,2,,Wärmepumpe für ein Geb.,2002-09-05
100000905,11527662,SH,418,Im Oberfeld,20,8261,Hemishofen,,2704860.249,1281396.069,bestehend,1996-2000,85,2,,Wärmepumpe für ein Geb.,2002-09-05
100000988,11526756,SH,375,Oberdorf,13,8222,Beringen,,2685219.835,1283768.685,bestehend,Vor 1919,288,3,,Heizkessel (gene.) für ein Geb.,2002-09-05
100000989,11526757,SH,318,Liiberackerweg,3,8223,Guntmadingen,,2684057.488,1282024.083,bestehend,1996-2000,102,2,,Wärmepumpe für ein Geb.,2002-09-05
100001525,11513844,SH,3366,Zieglerweg,2b,8240,Thayngen,,2694919.658,1289616.47,bestehend,1996-2000,122,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100001820,11514741,SH,102,Gehr,3,8224,Löhningen,,2683771.042,1283877.547,bestehend,1996-2000,130,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100002324,2023223,SH,72,Bettackerweg,6a,8223,Guntmadingen,,2684097.266,1282152.219,bestehend,Vor 1919,118,2,,Ofen,2002-09-05
100002693,11514925,SH,2447,Hofwisenstrasse,17,8260,Stein am Rhein,,2706400.498,1278757.908,bestehend,1996-2000,1938,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100002726,11527724,SH,417,Im Oberfeld,18,8261,Hemishofen,,2704848.15,1281408.948,bestehend,1996-2000,85,2,,Elektro-Zentralheizung ein Geb.,2002-09-05
100002845,11527119,SH,21807,Dachsenbüelstrasse,18,8200,Schaffhausen,,2690366.044,1286502.984,bestehend,1996-2000,106,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100002846,11527122,SH,927,In der Au,7,8225,Siblingen,,2681138.786,1285241.073,bestehend,1996-2000,100,2,,Wärmetauscher für ein Geb.,2018-10-08
100003211,11524917,SH,2009,Kasinogässchen,19,8200,Schaffhausen,Vordersteig Kleinkinderschule,2689401.488,1283588.096,bestehend,Vor 1919,194,3,,Heizkessel kond. für ein Geb.,2021-04-05
100003212,11524918,SH,1335,Im Riet,21,8200,Schaffhausen,,2688219.936,1284251.555,bestehend,Vor 1919,42,2,,Heizkessel (gene.) für ein Geb.,2002-09-05
100003215,11524932,SH,10,Mühleweg,4,8240,Thayngen,,2695106.69,1289431.397,bestehend,1996-2000,75,2,,Heizkessel (gen.) für mehr. Geb.,2002-09-05
